Status,AdditionalListingInfo,MLSNumber,StreetDirPrefix,StreetDirSuffix,StreetName,StreetNumber,StreetSuffix,CurrentPrice,DOM,BathsTotal,BedsTotal,BathsFull,BathsHalf,SqFtTotal,LotSizeArea_Min,City,Age 
Sold,Not Applicable,ML81471310,,,Feldspar,531,Drive,411000,5,2,3,2,0,1132,5574,San Jose,56
Sold,Not Applicable,ML81485669,,,Cannongate,3301,Court,411000,6,1,2,1,0,826,2302,San Jose,43
Sold,Not Applicable,ML81470485,,,Kenbrook,423,Circle,410000,2,2,3,2,0,1094,1094,San Jose,28
Sold,Not Applicable,ML81470927,,,Saidel,2313,Drive,410000,29,1,2,1,0,798,2580,San Jose,42
Sold,Not Applicable,ML81471162,,,Cribari Vale,5007,,410000,4,2,2,2,0,1223,1664,San Jose,47
Sold,Not Applicable,ML81472346,,,Tradewinds,305,Drive,410000,15,2,2,2,0,992,1307,San Jose,45
Sold,Not Applicable,ML81484783,,,Sunwood Meadows,188,Place,410000,10,2,2,2,0,920,1200,San Jose,30
Sold,Not Applicable,ML81485253,,,Catkin,888,Court,410000,7,1,1,1,0,658,1390,San Jose,27
Sold,Not Applicable,ML81486022,,,Tradewinds,283,Drive,410000,4,2,2,2,0,992,2809,San Jose,45
Sold,Not Applicable,ML81486379,,,Puerto Golfito,131,Court,410000,9,2,2,1,1,1000,871,San Jose,38
Sold,Not Applicable,CRMC15174845,E,,6th,444,Street,410000,,1,2,1,0,857,4728,Gilroy,
Sold,Not Applicable,ML81469970,,,Clear Spring,2474,Court,408000,11,2,2,2,0,1040,436,San Jose,31
Sold,Not Applicable,ML81496982,,,Rio Verde,383,Place,408000,15,1,2,1,0,882,576,Milpitas,44
Sold,Not Applicable,ML81472343,N,,Abbott,1164,Avenue,407000,4,1,2,1,0,863,1307,Milpitas,36
Sold,REO / Bank Owned Property,ML81469570,,,Vine,813,Street,406000,42,1,3,1,0,1128,4750,San Jose,115
Sold,Not Applicable,ML81458167,W,,Dunne,260,Avenue,405000,42,2,2,1,1,1204,436,Morgan Hill,34
Sold,Not Applicable,ML81461647,,,Chagall,1021,Way,405000,58,2,1,1,1,1003,1003,San Jose,16
Sold,Not Applicable,ML81465674,,,Tradewinds,296,Drive,405000,55,2,3,2,0,1252,2809,San Jose,45
Sold,Not Applicable,ML81469538,,,Alum Rock,2177,Avenue,405000,18,2,3,2,0,1216,1749,San Jose,10
Sold,Not Applicable,ML81471324,N,,Jackson,808,Avenue,405000,11,1,2,1,0,850,1837,San Jose,43
Sold,Not Applicable,ML81471748,E,,San Antonio,2049,Street,405000,8,2,2,1,1,992,1751,San Jose,17
Sold,Not Applicable,ML81472273,,,Silcreek,129,Drive,405000,6,2,2,2,0,1313,3080,San Jose,31
Sold,Not Applicable,ML81497603,,,Methilhaven,3317,Lane,402000,7,1,2,1,0,826,2146,San Jose,39
Sold,Not Applicable,ML81496628,,,Warfield,2275,Way,401000,8,1,2,1,0,885,1307,San Jose,36
Sold,REO / Bank Owned Property,ML81470708,,,Sorrel,16928,Way,400000,21,2,3,2,0,1453,1760,Morgan Hill,28
Sold,Not Applicable,ML81471945,,,Kimber,3346,Court,400000,0,1,2,1,0,886,1148,San Jose,38
Sold,Not Applicable,ML81485217,,,Catkin,890,Court,400000,8,1,1,1,0,658,1390,San Jose,27
Sold,Not Applicable,ML81496688,,,San Vito,314,Court,400000,13,2,3,1,1,1180,900,San Jose,44
Sold,Not Applicable,ML81497320,,,Cribari Glen,5326,,400000,9,2,2,2,0,1223,,San Jose,43
Sold,Not Applicable,ML81497943,,,Hale,18204,Avenue,400000,7,2,3,1,1,1145,1179,Morgan Hill,39
Sold,Not Applicable,CRPW15135899,,,Kimber,3346,Court,400000,,1,2,1,0,886,1148,San Jose,
Sold,Not Applicable,ML81468330,,,Summerplace,1050,Drive,399000,50,2,2,2,0,961,436,San Jose,23
Sold,Not Applicable,ML81471461,,,Cribari Knolls,5173,,395000,5,2,2,2,0,1223,1742,San Jose,46
Sold,New Subdivision,ML81469741,S,,Winchester,1122,Boulevard,395000,12,1,1,1,0,669,1307,San Jose,23
Sold,Not Applicable,ML81497087,,,Yarwood,1114,Court,395000,10,1,1,1,0,658,1390,San Jose,27
Sold,Not Applicable,ML81468667,,,Summerplace,982,Drive,390000,36,2,2,2,0,1124,435,San Jose,23
Sold,Not Applicable,ML81470666,,,Kenbrook,401,Circle,390000,9,2,3,2,0,1094,1094,San Jose,28
Sold,Not Applicable,ML81483264,S,,Main,1101,Street,387000,5,1,1,1,0,635,,Milpitas,8
Sold,Not Applicable,ML81472562,,,Cribari Bluff,5062,,386386,2,2,2,2,0,1223,1664,San Jose,45
Sold,Not Applicable,ML81498332,,,Carpentier,469,Way,386000,8,2,3,1,1,1131,380,San Jose,33
Sold,Not Applicable,ML81468234,,,Yarwood,1112,Court,385316,14,1,1,1,0,658,1390,San Jose,27
Sold,Not Applicable,ML81461053,,,Sequester,2427,Court,385000,13,2,2,2,0,890,0,San Jose,32
Sold,Not Applicable,ML81471528,S,,Abel,700,Street,385000,16,1,1,1,0,932,0.01,Milpitas,8
Sold,Not Applicable,ML81484173,,,Four Oaks,1486,Circle,385000,22,2,2,2,0,992,1307,San Jose,29
