Status,AdditionalListingInfo,MLSNumber,Address,CurrentPrice,DOM,BathsTotal,BedsTotal,BathsFull,BathsHalf,SqFtTotal,LotSizeArea_Min,City,Age 
Active,Not Applicable,ML81563777,47 Camino Por Los Arboles ,42800000,4,10,6,6,4,16468,63162,Atherton,0
Active,Not Applicable,ML81546005,331 Greer Road,39980000,63,9,9,8,1,9000,1716264,Woodside,70
Active,Not Applicable,ML81497015,891 Crystal Springs Road,39900000,226,10,10,9,1,16000,2064744,Hillsborough,99
Active,Not Applicable,ML81563851,246 Atherton Avenue,39800000,3,10,7,7,3,23013,110206.8,Atherton,1
Active,Not Applicable,ML81551023,700 Kings Mountain Road,23988000,21,6,4,5,1,14000,133729.2,Woodside,28
Active,Not Applicable,ML81468395,1 Faxon Road,20700000,280,7,5,5,2,14000,75359,Atherton,12
Active,Not Applicable,ML81561274,806 Alameda ,19800000,19,4,5,3,1,3175,457000,San Carlos,58
Active,Not Applicable,ML81336315,1225 SAN RAYMUNDO Road,18850000,888,15,12,12,3,11880,134164,Hillsborough,83
Active,Not Applicable,ML81533776,15 Woodgate Court,18000000,99,11,6,8,3,12616,148104,Hillsborough,8
Active,Not Applicable,ML81549406,5 Carolina Lane,17800000,33,9,7,7,2,12778,44810,Atherton,0
Active,Not Applicable,ML81546563,155 KINGS MOUNTAIN ROAD ,16995000,120,12,6,6,6,10690,217800,Woodside,31
Active,Not Applicable,ML81458850,333 Atherton Avenue,15800000,335,8,6,6,2,11230,108768,Atherton,23
Active,Not Applicable,ML81516493,1 Tallwood Ct. ,15600000,162,8,5,5,3,11985,43647,Atherton,0
Active,Not Applicable,ML81472163,95 Atherton Avenue,15200000,257,8,5,6,2,9983,93200,Atherton,21
Active,Not Applicable,ML81547715,3 Redberry Ridge,15000000,48,7,5,5,2,10223,113970.38,Portola Valley,0
Active,Not Applicable,ML81516863,201 Mountain Wood Lane,14988000,302,9,4,5,4,16800,365468,Woodside,0
Active,Not Applicable,ML81549715,91 Selby Lane,14900000,148,12,8,9,3,12402,48260,Atherton,0
Active,Not Applicable,ML81520140,291 Atherton Avenue,14688000,208,6,5,5,1,9600,87512,Atherton,18
Pending,Not Applicable,ML81561646,330 Mountain Home Road,14500000,14,5,4,4,1,4871,148452.48,Woodside,5
Active,Not Applicable,ML81521887,85 Greenoaks Drive,12950000,122,7,6,5,2,9894,39506,Atherton,0
Active,Not Applicable,ML81563607,123 Austin Avenue,12950000,4,6,5,5,1,6243,43566,Atherton,3
Active,Not Applicable,ML81520215,247 Atherton Avenue,11990000,57,9,6,7,2,8932,41128,Atherton,8
Active,Not Applicable,ML81465776,65 Selby Lane,11800000,295,11,7,8,3,12092,40075,Atherton,9
Active,Not Applicable,ML81459558,151 Laurel Street,11388000,603,8,9,7,1,8380,80586,Atherton,130
Pending,Not Applicable,ML81549669,188 Fair Oaks Lane,11200000,11,5,3,4,1,7517,102366,Atherton,111
Active,Not Applicable,ML81563780,60 Why Worry Lane,11000000,4,5,4,4,1,5814,135036,Woodside,27
Active,Not Applicable,ML81562488,120 Selby Lane,10495000,109,7,7,7,0,11000,87120,Atherton,101
Active,Not Applicable,ML81515501,6 Quail Meadows Drive,10000000,166,6,5,5,1,8660,147233,Woodside,26
Active,Not Applicable,ML81520205,393 Atherton Avenue,9995000,134,9,5,8,1,7649,43560,Atherton,19
Active,Not Applicable,ML81500320,75 Reservoir Road,9950000,204,3,4,3,0,2740,142398,Atherton,68
Active,Not Applicable,ML81561665,1 Homs Court,9888000,15,8,7,7,1,11425,61855.2,Hillsborough,112
Active,Not Applicable,ML81485989,84 Selby Lane,9500000,232,4,5,3,1,6170,53775,Atherton,35
Active,Not Applicable,ML81562758,280 Family Farm Road,9495000,8,5,4,4,1,5765,262144.08,Woodside,94
Active,Not Applicable,ML81551111,400 Selby Lane,8750000,20,6,3,5,1,3460,50403,Atherton,61
Active,Not Applicable,ML81562752,97 Mount Vernon Lane,8750000,8,6,5,4,2,7939,48351.6,Atherton,13
Pending,Not Applicable,ML81521094,109 De Sabla Road,8695000,107,9,6,8,1,7883,38768,Hillsborough,74
Pending,Not Applicable,ML81562506,6 Camino Por Los Arboles ,8450000,2,6,5,5,1,6070,31798.8,Atherton,16
Active,Not Applicable,ML81439843,170 NEW PLACE Road,7999999,484,7,6,6,1,6436,46368,Hillsborough,35
Active,Not Applicable,ML81563204,88 Tuscaloosa Avenue,7995000,6,4,4,3,1,3770,58139.53,Atherton,57
