Status,AdditionalListingInfo,MLSNumber,StreetDirPrefix,StreetDirSuffix,StreetName,StreetNumber,StreetSuffix,CurrentPrice,DOM,BathsTotal,BedsTotal,BathsFull,BathsHalf,SqFtTotal,LotSizeArea_Min,City,Age 
Contingent,Not Applicable,ML81548066,,,Lone Deer,9328,Way,749950,33,3,3,3,0,2658,6198.59,Gilroy,18
Active,Not Applicable,ML81562594,,,Topeka,209,Avenue,749900,11,1,2,1,0,938,4004,San Jose,68
Active,Not Applicable,ML81516988,,,Monticelli,928,Court,749888,160,3,4,3,0,2639,6026,Gilroy,13
Pending,Not Applicable,ML81547331,,,Poston,4930,Drive,749888,12,2,3,2,0,1313,6242.15,San Jose,43
Pending,Not Applicable,ML81562242,E,,Middlefield,100,Road,749888,7,2,2,2,0,1083,2156.22,Mountain View,47
Active,Not Applicable,ML81562762,,,Santa Fe,250,Terrace,749888,8,2,3,2,0,1283,1398.28,Sunnyvale,21
Pending,Not Applicable,ML81547734,,,Galleria,422,Drive,749000,16,2,2,2,0,1401,1320,San Jose,26
Active,Not Applicable,ML81548418,,,Grape Wagon,8794,Circle,749000,42,2,2,2,0,1582,2299.97,San Jose,21
Pending,Not Applicable,ML81548757,,,Surber,317,Drive,749000,34,2,3,2,0,1543,6298.78,San Jose,45
Active,Not Applicable,ML81549736,,,Meridian,2881,Avenue,749000,29,2,2,2,0,1383,436,San Jose,9
Pending,Not Applicable,ML81550038,,,Hutchings,2692,Drive,749000,20,3,4,2,1,2000,3580,San Jose,10
Pending,Not Applicable,ML81550579,,,Starlite,1776,Drive,749000,6,2,4,2,0,1617,6338,Milpitas,49
Pending,Not Applicable,ML81550598,,,Bluefield,385,Drive,749000,4,2,3,2,0,1605,5607,San Jose,48
Pending,Not Applicable,ML81551108,,,Rainbow,237,Place,749000,9,4,3,3,1,1404,1512,Milpitas,16
Pending,Not Applicable,ML81561459,,,Windmill,1171,Court,749000,8,3,3,2,1,2450,7148.2,San Jose,31
Pending,Not Applicable,ML81561706,,,Blackford,4165,Circle,749000,10,3,2,2,1,1026,1219.68,San Jose,32
Pending,Not Applicable,ML81562478,,,Towne,881,Drive,749000,6,4,3,3,1,1404,2279,Milpitas,16
Pending,Not Applicable,ML81562540,,,Buggywhip,6696,Court,749000,10,2,3,2,0,1354,1848,San Jose,43
Active,Not Applicable,ML81563405,,,Springpark,325,Circle,749000,5,3,4,3,0,1755,5488.56,San Jose,48
Active,Not Applicable,ML81551021,,,Glenburry,760,Way,748900,20,2,4,2,0,1353,6821.5,San Jose,36
Pending,Not Applicable,ML81550423,,,Autumnvale,2512,Avenue,748000,6,4,3,3,1,1771,1668.35,San Jose,8
Pending,Not Applicable,ML81562282,,,Matson,1647,Drive,748000,7,1,2,1,0,1172,5401.44,San Jose,54
Active,New Subdivision,ML81533073,,,Greenfield,6411,Drive,745900,110,3,4,2,1,2510,4545,Gilroy,0
Pending,Not Applicable,ML81534051,,,Alonso,1115,Drive,745000,50,3,3,2,1,1470,,San Jose,38
Active,Not Applicable,ML81546054,,,Chesbro,6034,Avenue,745000,58,2,3,2,0,1270,6464,San Jose,49
