Status,AdditionalListingInfo,MLSNumber,StreetDirPrefix,StreetDirSuffix,StreetName,StreetNumber,StreetSuffix,CurrentPrice,DOM,BathsTotal,BedsTotal,BathsFull,BathsHalf,SqFtTotal,LotSizeArea_Min,City,Age 
Sold,Not Applicable,ML81513959,,,Brookglen,12534,Drive,2185000,11,3,4,2,1,2096,13504,Saratoga,58
Sold,Not Applicable,ML81515816,,,Payne,883,Court,2180000,8,3,5,2,1,3012,6136,Sunnyvale,29
Sold,Not Applicable,ML81513487,,,Richardson,820,Court,2150000,12,2,4,2,0,1789,7403,Palo Alto,59
Sold,Not Applicable,ML81517229,,,Palm Spring,11677,Court,2150000,22,3,4,3,0,2445,5227,Cupertino,26
Sold,Not Applicable,ML81499378,,,Barnhart,10510,Court,2138400,8,3,5,3,0,3134,6546,Cupertino,17
Sold,Not Applicable,ML81452697,,,Brush,21121,Road,2135000,225,4,5,4,0,4924,145055,Los Gatos,14
Sold,Not Applicable,ML81513749,,,Regent,960,Drive,2111960,8,2,3,2,0,2020,10661,Los Altos,48
Sold,Not Applicable,ML81518769,,,San Felipe,10511,Road,2105000,7,3,4,2,1,3004,9791,Cupertino,34
Sold,Not Applicable,ML81497217,,,Paseo Vista,3300,Avenue,2104000,28,4,5,4,0,5467,439136,San Martin,27
Sold,Not Applicable,ML81513628,,,Kingsgate,1581,Drive,2100000,7,2,4,2,0,2398,9538,Sunnyvale,57
Sold,Not Applicable,ML81516891,,,Homer,225,Avenue,2100000,9,4,3,3,1,1780,719,Palo Alto,28
Sold,Not Applicable,ML81517191,,,Peacock,1866,Avenue,2100000,8,3,3,3,0,1926,5909,Mountain View,0
Sold,Not Applicable,ML81500230,,,Fairview,64,Plaza,2099000,24,2,4,2,0,2285,10001,Los Gatos,97
Sold,Not Applicable,ML81513864,,,Loma Verde,1058,Avenue,2075000,8,2,4,2,0,1674,6195,Palo Alto,57
Sold,Not Applicable,ML81513877,,,Louis,3363,Road,2075000,7,3,5,2,1,1857,6681,Palo Alto,63
Sold,Not Applicable,ML81486410,,,Berkshire,982,Avenue,2070000,14,3,4,3,0,2568,11493,Sunnyvale,0
Sold,Not Applicable,ML81500807,,,Chatham,330,Way,2070000,15,3,4,2,1,2202,8556,Mountain View,49
Sold,Not Applicable,ML81516840,,,Nisqually,828,Drive,2068000,7,2,4,2,0,1872,9720,Sunnyvale,55
Sold,Not Applicable,ML81485056,,,Pruneridge,2724,Avenue,2061400,57,5,5,5,0,3454,8616,Santa Clara,0
Sold,Not Applicable,ML81497227,,,Scarsdale,7271,Place,2050000,99,4,5,3,1,4377,10872,San Jose,28
Sold,Not Applicable,ML81501680,,,Bryant,590,Avenue,2050000,14,4,4,3,1,3740,14004,Mountain View,40
Sold,Not Applicable,ML81513072,,,Loch Lomond,565,Court,2050000,10,3,5,3,0,3080,10019,Sunnyvale,29
Sold,Not Applicable,ML81513430,,,Ross,2451,Road,2050000,15,1,3,1,0,1414,6816,Palo Alto,68
Sold,Not Applicable,ML81515012,,,Carver,1141,Place,2050000,6,3,4,2,1,2037,8270,Mountain View,62
Sold,Not Applicable,ML81470043,,,Grosvenor,17306,Court,2030000,68,3,4,2,1,2250,8562,Monte Sereno,41
Sold,Not Applicable,ML81456154,,,Mount Eden,23450,Road,2015000,168,2,4,2,0,2162,101000,Saratoga,67
Sold,Not Applicable,ML81514978,,,Bruckner,1190,Circle,2010000,8,3,4,3,0,1964,9384,Mountain View,52
Sold,Not Applicable,ML81498457,,,Ainsworth,10510,Drive,2000007,15,3,4,2,1,2420,10410,Cupertino,47
Sold,Not Applicable,ML81499595,,,Owen Sound,1474,Drive,2000000,7,3,4,2,1,1832,7841,Sunnyvale,53
Sold,Not Applicable,ML81501363,,,Amarillo,1002,Avenue,2000000,11,2,4,2,0,1645,6160,Palo Alto,64
Sold,Not Applicable,ML81501716,,,Fulton,634,Street,2000000,64,2,2,2,0,1286,4186,Palo Alto,43
Sold,Not Applicable,ML81516047,,,Loraine,943,,2000000,15,4,3,3,1,2636,4000,Los Altos,0
Sold,Not Applicable,ML81460097,,,University,1420,Avenue,1995000,69,3,6,3,0,3198,18300,San Jose,67
Sold,Not Applicable,ML81497356,,,Imperial,10480,Avenue,1988000,65,4,5,3,1,3195,8415,Cupertino,28
Sold,Not Applicable,ML81514698,,,April,320,Place,1985000,15,3,4,2,1,2202,7841,Mountain View,50
Sold,Not Applicable,ML81500681,,,Regnart,21612,Road,1980000,8,3,4,2,1,2066,7811,Cupertino,49
Sold,Not Applicable,ML81516957,,,Notre Dame,1686,Drive,1970000,7,2,3,2,0,1240,6110,Mountain View,61
Sold,Not Applicable,ML81501584,,,Millrich,104,Drive,1969000,9,3,4,3,0,2600,12880,Los Gatos,26
