Status,AdditionalListingInfo,MLSNumber,StreetDirPrefix,StreetDirSuffix,StreetName,StreetNumber,StreetSuffix,CurrentPrice,DOM,BathsTotal,BedsTotal,BathsFull,BathsHalf,SqFtTotal,LotSizeArea_Min,City,Age 
Sold,Not Applicable,ML81458010,,,Acacia,2044,Court,720000,48,2,2,2,0,1226,1750,Santa Clara,31
Sold,Not Applicable,ML81461352,,,La Alameda,15330,Drive,720000,19,3,4,2,1,1802,11761,Morgan Hill,50
Sold,Not Applicable,ML81463934,,,Buena Vista,770,Avenue,720000,3,3,3,2,1,1745,49222,Gilroy,45
Sold,Not Applicable,ML81464691,,,Cruden Bay,2110,Way,720000,13,4,4,3,1,2222,3485,Gilroy,13
Sold,Not Applicable,ML81465043,,,Saint Florian,3174,Way,720000,6,3,3,2,1,1727,1742,San Jose,11
Sold,Not Applicable,ML81465115,,,Autumnvale,2472,Avenue,720000,6,3,3,3,0,1536,1742,San Jose,7
Sold,Not Applicable,ML81466455,,,Calle Hermosa,17880,,720000,9,3,4,2,1,2034,4356,Morgan Hill,9
Sold,Not Applicable,ML81467195,N,,3rd,759,Street,720000,11,1,3,1,0,936,6900,San Jose,95
Sold,Not Applicable,ML81467290,,,loma verde,3151,Drive,720000,9,3,3,2,1,1366,1569,San Jose,39
Sold,Not Applicable,ML81467510,,,Holly Branch,2082,Court,720000,14,2,2,2,0,1475,1750,Santa Clara,30
Sold,Not Applicable,ML81467531,,,Holly,3449,Drive,720000,6,2,4,2,0,1423,5032,San Jose,61
Sold,Not Applicable,ML81468847,,,Easy,280,Street,720000,8,2,2,2,0,967,2050,Mountain View,51
Sold,Not Applicable,ML81464709,,,Monte Villa,135,Court,719000,9,3,3,2,1,1360,714,Campbell,31
Sold,Not Applicable,ML81462043,,,Dorothy,584,Avenue,718000,12,1,2,1,0,895,4500,San Jose,93
Sold,Not Applicable,ML81462212,,,Millich,1340,Lane,715500,9,2,2,2,0,1056,1344,San Jose,43
Sold,Not Applicable,ML81451549,,,Easy,950,Street,715000,77,2,3,2,0,1995,7841,Morgan Hill,38
Sold,Not Applicable,ML81461158,,,Lassenpark,378,Circle,715000,13,2,4,2,0,1634,6000,San Jose,42
Sold,Not Applicable,ML81462688,,,Colville,343,Drive,715000,7,2,4,2,0,1683,6825,San Jose,47
Sold,Not Applicable,ML81463120,,,Emerson,751,Court,715000,12,2,3,2,0,1372,4750,San Jose,80
Sold,Not Applicable,ML81463516,,,Bautista,330,Place,715000,9,3,3,3,0,1621,1815,San Jose,7
Sold,Not Applicable,ML81464493,,,Gardendale,3134,Drive,715000,21,2,4,2,0,1248,6468,San Jose,59
Sold,Not Applicable,ML81464855,,,Tofts,1161,Drive,715000,15,2,3,2,0,1067,6000,San Jose,44
Sold,Not Applicable,ML81464889,,,Agatha,3978,Way,715000,9,2,4,2,0,1812,6600,San Jose,39
Sold,Not Applicable,ML81465376,,,Avenida Abetos,411,,715000,14,2,3,2,0,1512,6300,San Jose,45
Sold,Not Applicable,ML81465745,,,Berryessa,858,Street,715000,11,2,3,2,0,1277,6000,Milpitas,55
Sold,Not Applicable,ML81467802,,,Flynn,88,Avenue,715000,13,1,2,1,0,858,812,Mountain View,43
Sold,Not Applicable,ML81464911,,,Pentland,2347,Way,713500,10,2,3,2,0,1346,6098,San Jose,36
Sold,Not Applicable,ML81462757,,,Blackberry,6300,Court,713000,31,3,6,3,0,3247,7200,Gilroy,17
Sold,Not Applicable,ML81462401,,,Sirina,502,Court,712000,9,3,3,3,0,1634,817,San Jose,18
Sold,Not Applicable,ML81467185,,,Dentwood,1409,Drive,712000,6,2,3,2,0,1080,6826,San Jose,55
Sold,Not Applicable,ML81461751,,,Fremont,1692,Street,711000,8,1,2,1,0,763,6552,Santa Clara,95
Sold,Not Applicable,ML81465013,,,Spring Hill,620,Drive,710043,9,2,3,2,0,2029,7035,Morgan Hill,34
Sold,Not Applicable,ML81446264,S,,Almaden,1295,Avenue,710000,121,1,2,1,0,1154,8276,San Jose,128
Sold,Not Applicable,ML81462539,,,Lanfair,512,Circle,710000,7,2,3,2,0,1218,3531,San Jose,35
Sold,Not Applicable,ML81463677,,,Carnot,1450,Drive,710000,5,3,3,2,1,1441,1650,San Jose,42
Sold,Not Applicable,ML81465219,,,War Wagon,5267,Drive,710000,20,2,3,2,0,1468,5406,San Jose,34
Sold,Not Applicable,ML81465278,,,San Rivas,3342,Drive,710000,6,2,4,2,0,1398,6180,San Jose,44
Sold,Not Applicable,ML81465426,,,Old Park,1345,Place,710000,7,2,3,2,0,1041,6000,San Jose,39
Sold,Not Applicable,ML81465801,,,El Vista,2830,Way,710000,11,2,3,2,0,1531,6090,San Jose,26
Sold,Not Applicable,ML81469012,,,Lemon Blossom,33,Court,710000,8,2,3,2,0,1662,6102,San Jose,39
Sold,Not Applicable,ML81457986,,,Houndshaven,4983,Way,708000,17,3,4,2,1,1807,6098,San Jose,39
Sold,Not Applicable,ML81461900,,,Palmwell,56,Way,708000,11,2,3,2,0,1277,5000,San Jose,31
Sold,Not Applicable,ML81465391,,,Santa Fe,250,Terrace,708000,13,2,2,2,0,1061,1400,Sunnyvale,20
Sold,Not Applicable,ML81463078,,,Hollenbeck,1247,Avenue,708000,0,2,2,2,0,926,871,Sunnyvale,27
Sold,Not Applicable,ML81468651,,,Civic Center,1690,Drive,708000,5,3,2,2,1,1161,618,Santa Clara,18
Sold,Not Applicable,ML81464080,W,,Rincon,258,Avenue,707000,11,2,2,2,0,1408,1457,Campbell,33
Sold,Not Applicable,ML81467330,,,Holycon,4671,Circle,706000,9,2,3,2,0,1442,5563,San Jose,42
Sold,Not Applicable,ML81461903,,,Hay Loft,2845,Way,705845,12,2,3,2,0,1645,7630,Morgan Hill,38
Sold,Not Applicable,ML81458130,,,Pershing,1001,Avenue,705000,1,1,2,1,0,1402,5500,San Jose,98
Sold,Not Applicable,ML81458354,,,Lincoln,2318,Avenue,705000,8,3,3,2,1,1684,2178,San Jose,41
Sold,Not Applicable,ML81464658,,,Cotterell,1265,Drive,705000,9,3,4,2,1,1907,6240,San Jose,43
