Status,AdditionalListingInfo,MLSNumber,StreetDirPrefix,StreetDirSuffix,StreetName,StreetNumber,StreetSuffix,CurrentPrice,DOM,BathsTotal,BedsTotal,BathsFull,BathsHalf,SqFtTotal,LotSizeArea_Min,City,Age 
Sold,Not Applicable,ML81501424,,,Rex,1784,Street,795000,22,1,3,1,0,1030,5150,San Mateo,61
Sold,Not Applicable,ML81513057,,,Almond,35,Court,795000,1,1,3,1,0,1090,10374,East Palo Alto,75
Sold,Not Applicable,ML81516491,,,Bassett,3655,Court,795000,14,2,4,2,0,1820,2550,South San Francisco,45
Sold,Not Applicable,ML81522589,,,Price,594,Street,795000,7,2,4,2,0,1320,2175,Daly City,57
Sold,Not Applicable,ML81533213,,,Manor,523,Drive,795000,12,1,3,1,0,930,5856,Pacifica,61
Sold,Not Applicable,ML81545189,N,,Claremont,11,Street,795000,27,2,2,2,0,1380,0,San Mateo,26
Sold,Not Applicable,ML81518260,,,Briscoe,2030,Terrace,793000,121,2,4,1,1,1328,1220,Fremont,43
Sold,Not Applicable,ML81547816,,,Gateway,258,Drive,792000,12,2,3,2,0,1500,3898.62,Pacifica,53
Sold,Not Applicable,ML81461617,,,Pope,25,Road,790000,196,3,3,2,1,1656,18500,La Honda,90
Sold,Not Applicable,ML81485031,,,Buckeye,122,Street,790000,122,2,3,2,0,1232,3724,Redwood City,74
Sold,Not Applicable,ML81485813,,,Clinton,464,Street,790000,41,2,3,2,0,1705,19408,Redwood City,54
Sold,Not Applicable,ML81498104,,,Jefferson,2529,Avenue,790000,95,2,3,2,0,1200,4080,Redwood City,91
Sold,Not Applicable,ML81513617,,,Holly,323,Avenue,790000,14,2,3,2,0,1420,4500,South San Francisco,61
Sold,Not Applicable,ML81513702,,,Price,638,Street,790000,53,2,3,2,0,1560,2550,Daly City,39
Sold,Not Applicable,ML81516788,,,Skyline,407,Drive,790000,32,1,3,1,0,1080,3003,Daly City,58
Sold,Not Applicable,ML81516984,W,,Orange,736,Avenue,790000,8,1,3,1,0,1260,5000,South San Francisco,71
Sold,Not Applicable,ML81518725,,,Ofarrell,1951,Street,790000,16,2,2,2,0,1143,115000,San Mateo,18
Sold,Not Applicable,ML81516813,,,Village Lane,104,,789950,116,2,3,2,0,1250,6018,Daly City,68
Sold,Not Applicable,ML81519880,,,Modoc,1430,Avenue,789000,18,1,3,1,0,1000,4400,Menlo Park,64
Sold,Not Applicable,ML81533666,,,Forest Lake,627,Drive,789000,12,2,3,2,0,1110,4000,Pacifica,51
Sold,Not Applicable,ML81515265,,,Laurel,939,Street,788000,13,2,2,2,0,926,27888,San Carlos,27
Sold,Not Applicable,ML81514379,,,Metzgar,523,Street,787000,40,2,3,2,0,1290,5200,Half Moon Bay,49
Sold,Not Applicable,ML81513655,,,Inverness,335,Drive,786500,6,2,3,1,1,1240,4000,Pacifica,51
Sold,Not Applicable,ML81499997,,,Shoreview,2045,Avenue,785000,10,1,3,1,0,1090,5500,San Mateo,63
Sold,Not Applicable,ML81512351,,,Madison,467,Avenue,785000,38,1,3,1,0,1450,5850,Redwood City,91
Sold,Not Applicable,ML81518354,,,Mirada,144,Drive,785000,25,2,4,2,0,1725,3750,Daly City,56
Sold,Not Applicable,ML81519317,,,Aptos,2472,Court,785000,25,2,6,2,0,2300,13578,Union City,46
Sold,Not Applicable,ML81519359,,,Morningside,111,Drive,785000,12,1,2,1,0,1120,3500,Daly City,58
Sold,Not Applicable,ML81521735,,,Marshall,94,Way,785000,10,2,3,2,0,1526,2250,Daly City,59
Sold,Not Applicable,ML81521962,,,York,1605,Avenue,785000,12,1,2,1,0,1200,6750,San Mateo,68
Sold,Not Applicable,ML81533927,,,Clough,3931,Avenue,785000,14,2,3,2,0,1451,5440,Fremont,66
Sold,Not Applicable,ML81514124,,,Cavanaugh,405,Street,783000,5,1,2,1,0,1005,4900,San Mateo,67
Sold,Not Applicable,ML81500892,,,Kehoe,422,Avenue,782688,19,2,4,2,0,1460,6000,Half Moon Bay,47
Sold,Not Applicable,ML81513452,,,Fitzsimmons,3406,Common,782000,10,3,3,2,1,1448,1136,Fremont,18
Sold,Not Applicable,ML81534777,,,Greystone,40742,Terrace,781000,7,3,3,3,0,1292,,Fremont,8
Sold,Not Applicable,ML81460972,,,Selkirk,4759,Street,780000,159,3,7,3,0,2456,5400,Fremont,56
Sold,Not Applicable,ML81499868,,,Parkrose,75,Avenue,780000,31,2,3,2,0,1560,3572,Daly City,43
Sold,Not Applicable,ML81501862,,,Skyline,328,Drive,780000,16,1,3,1,0,1080,3740,Daly City,59
Sold,Not Applicable,ML81512169,,,Spring,321,Street,780000,34,2,3,2,0,1850,6700,Redwood City,76
Sold,Not Applicable,ML81514830,,,Carlos,330,Avenue,780000,9,2,2,2,0,1410,2300,Redwood City,46
Sold,Not Applicable,ML81516257,,,Washington,1694,Street,780000,85,2,3,2,0,1220,6000,San Mateo,62
Sold,Not Applicable,ML81517195,,,Hart,3404,Common,780000,30,3,3,2,1,1637,1133,Fremont,19
Sold,Not Applicable,ML81517861,,,Manzanita,1128,Drive,780000,7,2,3,2,0,1110,6290,Pacifica,54
Sold,Not Applicable,ML81517931,,,Cabello,4812,Court,780000,36,3,4,3,0,1931,3592,Union City,25
Sold,Not Applicable,ML81518288,,,Compass,1131,Lane,780000,24,2,2,2,0,1349,,Foster City,42
Sold,Not Applicable,ML81519456,,,Westchester,2428,Court,780000,29,3,4,2,1,1800,2450,South San Francisco,42
Sold,Not Applicable,ML81519503,,,Via Lugano,5503,,780000,17,4,3,3,1,1481,,Fremont,8
Sold,Not Applicable,ML81519538,,,Floribunda,1427,Avenue,780000,12,1,2,1,0,1046,26598,Burlingame,41
Sold,Not Applicable,ML81521779,,,East,272,Avenue,780000,14,1,2,1,0,1140,2500,San Bruno,88
Sold,Not Applicable,ML81522082,,,Admiralty,1213,Lane,780000,24,3,3,2,1,1505,432988,Foster City,50
Sold,Not Applicable,ML81522564,,,Floribunda,1515,Avenue,780000,12,1,2,1,0,1004,39430,Burlingame,38
Sold,Not Applicable,ML81545845,,,Miller,532,Avenue,780000,9,1,3,1,0,1136,6200,Pacifica,66
Sold,Not Applicable,ML81546287,,,Southdale,53,Avenue,780000,7,2,4,2,0,1270,3402.04,Daly City,57
