Status,AdditionalListingInfo,MLSNumber,StreetDirPrefix,StreetDirSuffix,StreetName,StreetNumber,StreetSuffix,CurrentPrice,DOM,BathsTotal,BedsTotal,BathsFull,BathsHalf,SqFtTotal,LotSizeArea_Min,City,Age 
Pending,Not Applicable,ML81562940,,,Imperial,395,Way,448500,3,2,2,2,0,1065,1057906.87,Daly City,42
Pending,Not Applicable,ML81562529,,,Stanwood,26260,Avenue,446000,5,1,3,1,0,1059,5414.51,Hayward,64
Pending,Not Applicable,ML81548521,,,Deering,3212,,440000,26,1,2,1,0,1156,2555,Oakland,78
Pending,Not Applicable,ML81548383,,,Willow,250,Avenue,435000,14,1,1,1,0,750,18341,South San Francisco,36
Active,Not Applicable,ML81563643,,,Cedar,39865,Boulevard,434900,4,2,2,2,0,1071,275299.2,Newark,30
Active,Not Applicable,ML81515365,,,Recreation,141,Drive,429000,165,1,1,1,0,610,8480,La Honda,74
Pending,Not Applicable,ML81533353,N,,Bayshore,240,Boulevard,429000,48,1,1,1,0,725,63584,San Mateo,33
Pending,Not Applicable,ML81549432,,,Shelter Creek,6301,Lane,429000,11,1,1,1,0,680,1679616.97,San Bruno,44
Pending,Not Applicable,ML81549311,,,Imperial,396,Way,429000,12,1,1,1,0,817,1057906,Daly City,42
Pending,Potential Short Sale / Lender Appr Required,ML81546783,,,Via Mariposa,772,Village,425000,52,1,3,1,0,1000,5000,San Lorenzo,72
Active,Not Applicable,ML81563428,,,Shelter Creek,7323,Lane,425000,5,1,1,1,0,680,1679615,San Bruno,44
Pending,Not Applicable,ML81548622,,,Cedar,39887,Boulevard,420000,20,2,2,2,0,1071,275300,Newark,30
Active,Not Applicable,ML81563406,,,Shelter Creek,4251,Lane,418888,5,1,1,1,0,680,0,San Bruno,44
Active,Not Applicable,ML81563786,,,Shelter Creek,4347,Lane,415000,4,1,1,1,0,680,0,San Bruno,44
Pending,Not Applicable,ML81534477,,,27th,2047,Avenue,410888,70,2,3,2,0,2581,3800,Oakland,107
Pending,Not Applicable,ML81549443,,,Canyon Oaks,740,Drive,399999,18,2,2,2,0,1123,0,Oakland,28
Pending,Potential Short Sale / Lender Appr Required,ML81548053,,,Lynn,944,Court,399950,3,1,3,1,0,1432,5719.43,San Lorenzo,66
Active,Not Applicable,ML81562505,,,D,9001,Street,399900,11,1,3,1,0,1248,3685,Oakland,33
Active,Not Applicable,ML81548032,,,Shelter Creek,4348,Lane,399000,46,1,1,1,0,680,1679615,San Bruno,44
Pending,Not Applicable,ML81549799,,,Half Moon,373,Lane,399000,15,1,1,1,0,717,1057906.87,Daly City,42
Active,Not Applicable,ML81563640,,,Madrone,77,Avenue,399000,4,2,2,1,1,1554,51836.4,Pescadero,89
Pending,Not Applicable,ML81547562,,,Marcie,625,Circle,398888,29,1,1,1,0,750,14954.15,South San Francisco,36
Contingent,Not Applicable,ML81550734,,,Brosnan,623,Court,398000,6,1,1,1,0,750,14953,South San Francisco,36
Active,Not Applicable,ML81562146,,,Half Moon,359,Lane,398000,13,1,1,1,0,717,1057906.87,Daly City,42
Active,Not Applicable,ML81563413,,,Piccadilly,401,Place,398000,5,1,1,1,0,650,170010.32,San Bruno,45
Active,Not Applicable,ML81522256,,,Scoville,5614,Street,395000,118,1,2,1,0,887,5400,Oakland,98
Pending,Not Applicable,ML81549187,,,Half Moon,397,Lane,395000,13,1,1,1,0,788,1057906,Daly City,42
Active,Not Applicable,ML81562866,,,Shelter Creek,2349,Lane,389950,8,1,1,1,0,680,1679615,San Bruno,44
Pending,Not Applicable,ML81545496,,,Half Moon,373,Lane,389000,29,1,1,1,0,717,1057906.87,Daly City,41
Pending,Not Applicable,ML81548825,,,Mandarin,377,Drive,388000,11,1,1,1,0,717,1057906,Daly City,42
Active,Not Applicable,ML81550349,,,San Gabriel,1019,Circle,388000,26,1,1,1,0,711,696789,Daly City,30
Pending,Potential Short Sale / Lender Appr Required,ML81473010,,,Goodrich,171,Street,385000,696,1,3,1,0,1572,6200,Hayward,63
Contingent,Not Applicable,ML81546929,,,Imperial,396,Way,379000,7,1,1,1,0,717,1057906.87,Daly City,42
Pending,Not Applicable,ML81547597,,,Hummingbird,27832,Court,379000,30,2,3,1,1,1254,945.25,Hayward,45
Pending,Court Confirmation May Be Req'd,ML81534335,,,Boardwalk,211,Avenue,375000,81,1,1,1,0,650,122839.2,San Bruno,44
Active,HUD Owned,ML81563348,,,Imperial,371,Way,375000,6,1,2,1,0,815,0,Daly City,42
Pending,Potential Short Sale / Lender Appr Required,ML81499750,,,Spring Valley,1181,Common,374950,36,3,3,2,1,1274,1140,Livermore,30
Active,Not Applicable,ML81561508,N,,Delaware,814,Street,369888,9,1,0,1,0,473,1114918.2,San Mateo,51
Active,Not Applicable,ML81562584,,,Guardino,39219,Drive,369000,11,1,1,1,0,693,0,Fremont,29
Pending,Not Applicable,ML81548773,,,Imperial,371,Way,368000,19,1,1,1,0,717,1057906,Daly City,42
Contingent,Not Applicable,ML81549210,,,Mandarin,391,Drive,365000,23,1,1,1,0,717,1057906,Daly City,42
Pending,Not Applicable,ML81521009,,,70TH,962,Avenue,360000,67,3,4,3,0,1596,5000,Oakland,67
Pending,Not Applicable,ML81534205,,,HALLIDAY,7401,Avenue,360000,68,3,3,2,1,1592,3360,Oakland,75
Pending,Not Applicable,ML81549469,,,Cherry,1126,Avenue,349000,18,1,1,1,0,450,150691.46,San Bruno,45
Pending,Not Applicable,ML81550234,,,Wolcott,3300,Common,349000,21,1,1,1,0,712,,Fremont,33
Pending,Not Applicable,ML81521958,,,Pearce,22229,Street,339000,96,1,2,1,0,758,2090,Hayward,97
Pending,Not Applicable,ML81548871,,,Brenda,32609,Way,338000,14,1,2,1,0,810,,Union City,43
Pending,Not Applicable,ML81562246,,,Tyrrell,27323,Avenue,335000,0,1,2,1,0,824,,Hayward,57
Pending,Not Applicable,ML81550473,,,Southgate,1551,Avenue,329900,6,1,1,1,0,813,186214.64,Daly City,42
Pending,Not Applicable,ML81469865,,,19th,2327,Avenue,329000,0,1,3,1,0,1209,5000,Oakland,100
Pending,Not Applicable,ML81551181,,,Shelter Creek,1332,Lane,328000,13,1,0,1,0,490,1679615,San Bruno,44
Active,Not Applicable,ML81563591,,,Stevenson,3909,Boulevard,328000,117,1,1,1,0,740,0,Fremont,44
Pending,Not Applicable,ML81545478,,,Darien,416,Avenue,325000,19,2,3,2,0,825,4056,Oakland,73
Pending,Potential Short Sale / Lender Appr Required,ML81459896,E,,15th,5732,Street,320000,251,1,2,1,0,884,6050,Oakland,106
Pending,Auction,ML81522301,,,Shelter Creek,8223,Lane,310000,72,1,1,1,0,680,1679615,San Bruno,43
Pending,Not Applicable,ML81562184,,,Piccadilly,405,Place,309000,10,1,0,1,0,450,177206.44,San Bruno,45
Contingent,Not Applicable,ML81549359,,,Shelter Creek,2111,Lane,308000,13,1,0,1,0,490,0,San Bruno,44
Pending,Not Applicable,CROC15266131,,,MURRIETA,1087,Boulevard,300000,,1,2,1,0,954,,Livermore,
Active,Not Applicable,ML81549052,,,Imperial,397,Way,299000,15,1,0,1,0,483,24.29,Daly City,42
Pending,Not Applicable,ML81548930,,,Captain,7,Drive,299000,0,1,1,1,0,552,,Emeryville,43
Pending,Not Applicable,ML81546629,,,67th,1714,Avenue,289000,30,1,2,1,0,762,2500.34,Oakland,90
Pending,Auction,ML81548568,,,46th,2015,Avenue,275000,20,1,3,1,0,1056,1951.49,Oakland,96
Active,Not Applicable,ML81512586,,,Hudson,1614,Street,269980,158,1,0,1,0,389,53802,Redwood City,51
Active,Not Applicable,ML81513266,,,Copa Del Oro,25129,Drive,269000,185,1,1,1,0,608,,Hayward,24
Contingent,Not Applicable,ML81563656,,,Southgate,1551,Avenue,259000,3,1,0,1,0,495,186214.64,Daly City,42
Pending,Not Applicable,ML81546580,,,Kay,26088,Avenue,219900,30,1,1,1,0,606,,Hayward,31
