Ocala Middle,Middle School,730,2,2800 Ocala Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
ACE Charter,Middle School ,731,2,625 South Sunset Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Mt. Pleasant Elementary,Elementary School,731,2,14275 Candler Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Gilroy High,High School,732,4,750 West 10th Street,Gilroy,Santa Clara County,CA,-1.22E+02,3.70E+01
Columbia Middle,Middle School,733,3,739 Morse Avenue,Sunnyvale,Santa Clara County,CA,-1.22E+02,3.74E+01
Canoas Elementary,Elementary School,735,2,880 Wren Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Sylvandale Middle,Middle School,735,3,653 Sylvandale Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Downtown College Preparatory,High School ,738,4,1460 The Alameda,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Abraham Lincoln High,High School,739,4,555 Dana Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Peter Burnett Middle,Middle School,740,3,850 North 2nd Street,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Selma Olinder Elementary,Elementary School,741,2,890 East William Street,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
P. A. Walsh Elementary,Elementary School,742,2,353 West Main Avenue,Morgan Hill,Santa Clara County,CA,-1.22E+02,3.71E+01
Escuela Popular/Center for Training and,High School ,746,,149 North White Road,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Los Arboles Elementary,Elementary School,746,2,455 Los Arboles Street,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
William Sheppard Middle,Middle School,746,3,480 Rough and Ready Road,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Willow Glen High,High School,747,5,2001 Cottle Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Bridges Academy,Middle School ,748,3,1702 McLaughlin Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Scott Lane Elementary,Elementary School,750,3,1925 Scott Boulevard,Santa Clara,Santa Clara County,CA,-1.22E+02,3.74E+01
Merritt Trace Elementary,Elementary School,752,3,651 Dana Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Clyde L. Fischer Middle,Middle School,753,4,1720 Hopkins Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Eliot Elementary,Elementary School,753,3,475 Old Gilroy Street,Gilroy,Santa Clara County,CA,-1.22E+02,3.70E+01
Robert Randall Elementary,Elementary School,753,3,1300 Edsel Drive,Milpitas,Santa Clara County,CA,-1.22E+02,3.74E+01
George Miner Elementary,Elementary School,754,3,5629 Lean Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.72E+01
Campbell Middle,Middle School,755,4,295 Cherry Lane,Campbell,Santa Clara County,CA,-1.22E+02,3.73E+01
Robert Sanders Elementary,Elementary School,755,3,3411 Rocky Mountain Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Independence High,High School,757,5,1776 Educational Park Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Joseph George Middle,Middle School,757,4,277 Mahoney Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Captain Jason M. Dahl Elementary,Elementary School,760,3,3200 Water Street,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Allen at Steinbeck,Elementary School,761,3,820 Steinbeck Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.72E+01
Caroline Davis Intermediate,Middle School,763,4,5035 Edenview Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Adrian Wilcox High,High School,767,6,3250 Monroe Street,Santa Clara,Santa Clara County,CA,-1.22E+02,3.74E+01
Fremont High,High School,767,6,1279 Sunnyvale Saratoga Road,Sunnyvale,Santa Clara County,CA,-1.22E+02,3.74E+01
El Toro Elementary,Elementary School,769,3,455 East Main Avenue,Morgan Hill,Santa Clara County,CA,-1.22E+02,3.71E+01
San Martin/Gwinn Elementary,Elementary School,769,3,100 North Street,San Martin,Santa Clara County,CA,-1.22E+02,3.71E+01
Antonio Del Buono Elementary,Elementary School,771,3,9300 Wren Avenue,Gilroy,Santa Clara County,CA,-1.22E+02,3.70E+01
Mildred Goss Elementary,Elementary School,772,3,2475 Van Winkle Lane,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Santa Teresa High,High School,773,6,6150 Snell Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.72E+01
Walter L. Bachrodt Elementary,Elementary School ,773,4,102 Sonora Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Live Oak High,High School,775,6,1505 East Main Avenue,Morgan Hill,Santa Clara County,CA,-1.22E+02,3.71E+01
Christopher Elementary,Elementary School,776,4,565 Coyote Road,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Luther Burbank Elementary,Elementary School,776,4,4 Wabash Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Vargas Elementary,Elementary School,776,4,1054 Carson Drive,Sunnyvale,Santa Clara County,CA,-1.22E+02,3.74E+01
Lakewood Elementary,Elementary School,780,4,750 Lakechime Drive,Sunnyvale,Santa Clara County,CA,-1.22E+02,3.74E+01
San Miguel Elementary,Elementary School,780,4,777 San Miguel Avenue,Sunnyvale,Santa Clara County,CA,-1.22E+02,3.74E+01
A. J. Dorsa Elementary,Elementary School,781,4,1290 Bal Harbor Way,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Bishop Elementary,Elementary School,781,4,450 North Sunnyvale Avenue,Sunnyvale,Santa Clara County,CA,-1.22E+02,3.74E+01
Lowell Elementary,Elementary School,782,4,625 South 7th Street,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Santa Clara High,High School,782,7,3000 Benton Street,Santa Clara,Santa Clara County,CA,-1.22E+02,3.73E+01
Glen View Elementary,Elementary School,783,4,600 West 8th Street,Gilroy,Santa Clara County,CA,-1.22E+02,3.70E+01
Blackford Elementary,Elementary School ,784,4,1970 Willow Street,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
