Status,AdditionalListingInfo,MLSNumber,StreetDirPrefix,StreetDirSuffix,StreetName,StreetNumber,StreetSuffix,CurrentPrice,DOM,BathsTotal,BedsTotal,BathsFull,BathsHalf,SqFtTotal,LotSizeArea_Min,City,Age 
Sold,Not Applicable,ML81545178,,,Camden,6544,Avenue,1030000,7,3,4,2,1,2050,6363,San Jose,50
Sold,Not Applicable,ML81546399,,,Cabrillo,3153,Avenue,1030000,10,2,3,2,0,1562,5100.88,Santa Clara,61
Sold,Not Applicable,ML81547148,,,Hillebrant,1887,Place,1030000,7,4,3,3,1,1591,1524.6,Santa Clara,4
Sold,Not Applicable,ML81547232,,,Silver Vista,5421,Way,1030000,13,2,2,2,0,2154,435.6,San Jose,21
Sold,Not Applicable,ML81547639,,,Road Runner,1350,Terrace,1030000,6,3,3,2,1,1552,3497.87,Sunnyvale,42
Sold,Not Applicable,ML81561761,,,Briarwood,2586,Drive,1030000,0,2,4,2,0,1783,6490.44,San Jose,55
Sold,Not Applicable,ML81514772,S,,Milton,64,Avenue,1025000,57,2,3,2,0,1676,8205,Campbell,68
Sold,Not Applicable,ML81521797,,,Prince Estates,5356,Court,1025000,35,3,4,2,1,2255,8466,San Jose,30
Sold,Not Applicable,ML81534066,S,,California,153,Avenue,1025000,9,2,2,1,1,1247,871,Palo Alto,33
Sold,Not Applicable,ML81548736,,,Virginia,383,Avenue,1025000,13,2,3,2,0,1530,8300,Campbell,61
Sold,Not Applicable,ML81547463,,,Hillebrant,1785,Place,1023000,8,4,3,3,1,1591,1524.6,Santa Clara,5
Sold,Not Applicable,ML81518513,,,Linda,1059,Drive,1021000,17,2,3,2,0,1380,7405,Campbell,52
Sold,Not Applicable,ML81485003,,,Uvas,17775,Road,1020000,110,3,5,3,0,2232,146257,Morgan Hill,41
Sold,Not Applicable,ML81518035,,,Adams,1162,Drive,1020000,33,3,4,2,1,2090,6244,San Jose,45
Sold,Not Applicable,ML81518916,,,Halifax,5189,Drive,1020000,13,2,3,2,0,1218,6154,San Jose,56
Sold,Not Applicable,ML81519083,,,Avenida De Lago,5049,,1020000,41,3,5,3,0,1850,8718,Santa Clara,39
