Active,Not Applicable,ML81562925,2140 Bryant Street,4998000,7,4,4,4,0,2477,10001.38,Palo Alto,79
Active,Not Applicable,ML81551145,26856 Almaden Court,4990000,20,6,5,5,1,5098,44866,Los Altos Hills,20
Active,Not Applicable,ML81550406,2577 Ramona ,4980000,26,7,9,6,1,5027,8070,Palo Alto,10
Pending,Not Applicable,ML81469001,15588 Shady Lane,4975000,195,7,5,6,1,7638,61900,Los Gatos,0
Pending,Not Applicable,ML81437786,15615 SHADY Lane,4930000,425,6,5,5,1,7031,80730,Los Gatos,0
Active,Not Applicable,ML81514341,14390 Douglass Lane,4900000,178,6,5,5,1,7200,65340,Saratoga,17
Active,Not Applicable,ML81561184,2350 Tasso Street,4895000,47,5,5,4,1,3418,5000,Palo Alto,0
Active,Not Applicable,ML81563366,16290 Lucky Road,4888888,6,7,7,6,1,5450,283140,Monte Sereno,116
Active,,ML81550109,11860 Francemont Drive,4888000,27,6,6,6,0,5565,40284,Los Altos Hills,10
Active,Not Applicable,ML81551024,27860 Via Corita Way,4888000,20,5,4,4,1,4997,44431.2,Los Altos Hills,19
Active,Not Applicable,ML81564065,15270 Oak Ridge Way,4800000,1,4,4,3,1,4638,21785,Los Gatos,12
Active,Not Applicable,ML81521533,725 Center Drive,4775000,125,5,5,4,1,3424,9376,Palo Alto,29
Active,Not Applicable,ML81545794,15260 Pepper Lane,4690000,66,3,6,3,0,3600,51836.4,Saratoga,66
Pending,Not Applicable,ML81549101,19750 Glen Una Drive,4550000,23,5,4,3,2,4225,60548.4,Los Gatos,64
Active,Not Applicable,ML81563373,2020 Webster Street,4500000,6,3,4,3,0,2212,6930.4,Palo Alto,79
Active,Not Applicable,ML81499976,20784 Via Corta ,4499000,207,3,4,3,0,2719,564232,San Jose,36
Active,Not Applicable,ML81551027,14303 Saddle Mountain Drive,4498000,20,4,4,3,1,4895,49658.4,Los Altos Hills,33
Active,Not Applicable,ML81548291,20901 Sarahills Drive,4288000,43,6,5,5,1,4590,41121,Saratoga,47
Active,Not Applicable,ML81549887,1691 Marseilles Court,4250000,28,5,5,4,1,6487,16065,San Jose,9
Pending,Not Applicable,ML81522179,10650 Magdalena Road,4200000,96,7,5,3,4,6729,44866,Los Altos Hills,10
Contingent,Not Applicable,ML81535049,15581 Toyon Drive,4200000,55,7,5,6,1,6072,110479,Los Gatos,52
Active,Not Applicable,ML81548652,12101 Oak Park Court,4198000,40,4,4,4,0,4095,69696,Los Altos Hills,20
Active,Not Applicable,ML81563226,26653 Snell Lane,4195000,6,3,5,3,0,2831,43006.79,Los Altos Hills,53
Active,Potential Short Sale / Lender Appr Required,ML81548875,26390 Anacapa Drive,4190000,39,5,3,4,1,3344,55800,Los Altos Hills,4
Active,Not Applicable,ML81562228,17730 Kilkenny Road,4100000,13,5,5,4,1,7307,57499.2,Los Gatos,17
Active,Not Applicable,ML81561362,13410 Old Oak Way,3999888,19,2,3,2,0,2990,39639.6,Saratoga,42
Pending,Not Applicable,ML81515318,6970 Hollow Lake Way,3999000,152,8,6,7,1,9625,62314,San Jose,0
Active,Not Applicable,ML81549185,22336 Regnart Road,3998000,35,4,5,4,0,4474,116013,Cupertino,29
Active,Not Applicable,ML81561832,21029 Bank Mill Road,3998000,15,5,5,4,1,4331,43298,Saratoga,43
Active,Not Applicable,ML81561853,17075 Uvas Road,3998000,14,6,5,4,2,4581,2221560,Morgan Hill,4
Active,Not Applicable,ML81564000,21215 CHADWICK Court,3998000,1,7,4,5,2,5732,165092.4,Saratoga,20
Pending,Not Applicable,ML81561752,272 Covington Road,3995000,9,2,4,2,0,1914,43520.8,Los Altos,69
Active,Not Applicable,ML81562738,26007 Rancho Manuella Lane,3995000,8,4,4,4,0,3563,50507,Los Altos Hills,37
Active,Not Applicable,ML81498424,5555 Felter Road,3988800,217,6,5,6,0,15074,2266172,San Jose,0
Active,Not Applicable,ML81549692,15195 Becky Lane,3988000,29,4,4,3,1,5147,43560,Monte Sereno,31
Active,Not Applicable,ML81562202,12444 Robleda Road,3988000,13,5,6,4,1,4992,35475.26,Los Altos Hills,28
Active,Not Applicable,ML81513650,22090 Lindy Lane,3975000,181,4,4,4,0,6084,87881,Cupertino,34
Active,Not Applicable,ML81462559,22558 Country View Drive,3970000,263,6,5,5,1,8742,386377,San Jose,21
Active,Not Applicable,ML81550512,703 N California Avenue,3900000,25,4,5,4,0,2773,8568.25,Palo Alto,65
Active,Not Applicable,ML81548668,536 Lincoln ,3888000,40,3,4,2,1,2945,5275,Palo Alto,119
Active,Not Applicable,ML81464240,22265 Rolling Hills Road,3880000,305,4,5,4,0,3961,196020,Saratoga,103
Active,Not Applicable,ML81550224,2951 South Court ,3880000,27,4,5,3,1,3300,5000,Palo Alto,0
Active,Not Applicable,ML81549823,21740 Rainbow Drive,3800000,28,6,4,4,2,4714,69696,Cupertino,1
Active,Not Applicable,ML81513829,27446 Black Mountain Road,3799000,181,3,4,3,0,3119,44350,Los Altos Hills,47
Active,Not Applicable,ML81548433,27633 Via Cerro Gordo ,3795000,42,3,4,3,0,3836,67909,Los Altos Hills,48
Active,Not Applicable,ML81562959,21081 Chiquita Way,3788000,7,3,4,2,1,3292,72745.2,Saratoga,39
Active,Not Applicable,ML81563387,13030 La Paloma Road,3750000,5,5,5,4,1,3517,45981.94,Los Altos Hills,43
Pending,Not Applicable,ML81548639,12911 Atherton Court,3749000,20,4,4,3,1,4194,55756.8,Los Altos Hills,37
Active,Not Applicable,ML81550375,16660 Cypress Way,3690000,26,7,7,6,1,4369,186436.8,Los Gatos,108
Active,Not Applicable,ML81517260,5698 La Seyne Place,3600000,158,7,5,6,1,6527,13068,San Jose,8
Active,Not Applicable,ML81548565,26375 Taaffe Road,3600000,41,5,4,4,1,3301,45916.6,Los Altos Hills,77
Pending,Not Applicable,ML81562311,955 Stanley Avenue,3598000,8,4,4,3,1,3597,12432.02,Los Altos,12
Active,Not Applicable,ML81563726,19165 Austin Way,3595000,4,5,4,4,1,4146,48026,Saratoga,68
Active,Not Applicable,ML81522741,5551 Sierra Road,3588000,113,4,5,3,1,4107,595901,San Jose,24
Active,Not Applicable,ML81521846,5500 Morningside Drive,3550000,123,5,4,4,1,5731,16806,San Jose,15
Pending,Not Applicable,ML81550036,10231 HILLCREST Road,3500000,26,7,6,7,0,4707,12006,Cupertino,0
Active,Not Applicable,ML81563120,14565 Harvard Court,3500000,7,4,3,3,1,3132,51273,Los Altos Hills,45
Active,Not Applicable,ML81547929,15345 Bohlman Road,3499888,39,6,5,5,1,4900,581329.98,Saratoga,31
Pending,Not Applicable,ML81516644,19357 Zinfandel Court,3499000,12,4,6,3,1,3853,40562,Saratoga,40
Pending,Not Applicable,ML81547796,115 Waverley Street,3498000,31,2,4,1,1,2196,7900,Palo Alto,111
Active,Not Applicable,ML81563084,25136 La Loma Drive,3495000,7,3,4,2,1,3204,52075.98,Los Altos Hills,60
Pending,Not Applicable,ML81562126,2300 2308 Amherst Street,3488000,9,4,5,4,0,3801,6000,Palo Alto,14
Active,Not Applicable,ML81563277,27071 Dezahara Way,3488000,6,4,4,3,1,3428,49658.4,Los Altos Hills,42
Active,Not Applicable,ML81519552,6793 Elwood Road,3425000,140,6,5,5,1,5238,20000,San Jose,50
Active,Not Applicable,ML81561441,11029 Eastbrook Avenue,3399888,18,4,4,3,1,3952,47044.8,Los Altos,30
Active,Not Applicable,ML81533050,15231 Quito Road,3398888,110,5,6,5,0,7532,46583,Saratoga,76
Active,Not Applicable,ML81562297,13109 Byrd Lane,3395000,12,3,4,2,1,2334,59533.45,Los Altos Hills,56
Contingent,Not Applicable,ML81339788,9548 ESTATES Drive,3388000,732,8,6,6,2,7300,4.85,Gilroy,28
Active,Not Applicable,ML81562334,820 Hamilton Avenue,3380000,12,2,4,2,0,1952,5937.23,Palo Alto,96
Active,Not Applicable,ML81550153,159 Kellogg Avenue,3375000,27,2,3,2,0,1271,7500,Palo Alto,95
Active,Not Applicable,ML81564129,21030 Greenleaf Drive,3368000,0,5,5,4,1,3738,9290,Cupertino,0
Active,Not Applicable,ML81533879,16430 Mireval Road,3350000,98,4,4,4,0,4803,34848,Los Gatos,25
Pending,Not Applicable,ML81549348,18021 Arlee Drive,3350000,10,4,4,3,1,3016,12769,Monte Sereno,2
Contingent,Not Applicable,ML81516391,16354 Aztec Ridge Drive,3300000,151,3,4,3,0,4379,40960,Los Gatos,37
Pending,Not Applicable,ML81548802,21871 Dolores Avenue,3300000,19,5,5,4,1,3884,9687.74,Cupertino,6
Active,Not Applicable,ML81549368,3644 Ramona Circle,3298000,33,4,5,3,1,2402,6362,Palo Alto,0
Active,Not Applicable,ML81562071,560 Miramonte Avenue,3298000,13,3,4,2,1,3000,8000,Palo Alto,84
Active,Not Applicable,ML81563249,1567 Siesta Drive,3250000,6,3,4,3,0,2495,11678.44,Los Altos,62
Contingent,Not Applicable,ML81550742,20561 Montalvo Lane,3238000,9,6,5,5,1,3859,45062.82,Saratoga,64
Active,Not Applicable,ML81562935,7121 Echo Loop,3200000,7,5,4,4,1,4490,21344.4,San Jose,10
Pending,Not Applicable,ML81561194,2526 Webster Street,3198000,8,3,4,2,1,2479,9304,Palo Alto,69
Active,Not Applicable,ML81563174,700 Chimalus Drive,3198000,6,4,4,3,1,2676,7413,Palo Alto,1
Active,Not Applicable,ML81563297,540 Valencia Drive,3198000,6,4,5,3,1,3109,9900,Los Altos,62
Pending,Not Applicable,ML81547772,1170 Hamilton Avenue,3195000,10,2,3,2,0,2289,8187,Palo Alto,81
Pending,New Subdivision,ML81562786,1811 Dry Creek Road,3195000,7,5,5,4,1,4570,24092,San Jose,0
Active,Not Applicable,ML81564109,26636 Altamont Road,3188000,1,3,4,2,1,2933,43560,Los Altos Hills,44
Active,Not Applicable,ML81563003,17881 Andrews Street,3175000,7,4,5,4,0,3056,8013,Monte Sereno,0
Active,Potential Short Sale / Lender Appr Required,ML81439599,15091 BECKY Lane,3150000,1055,4,5,3,1,4869,45302,Monte Sereno,21
Active,Not Applicable,ML81562230,16410 Reynolds Drive,3100000,13,6,4,5,1,5305,92347.2,Morgan Hill,12
Active,Not Applicable,ML81563079,20850 Saratoga Hills Road,3095000,7,5,4,3,2,3740,58806,Saratoga,39
Active,Not Applicable,ML81496665,10625 Eloise Circle,2999999,229,0,0,0,0,5600,49222,Los Altos Hills,61
Active,Not Applicable,ML81462776,15680 Canon Drive,2999950,310,2,4,2,0,1800,596772,Los Gatos,100
Active,Not Applicable,ML81550492,22637 Mount Eden Road,2999888,25,3,4,2,1,2792,100695,Saratoga,41
Active,Not Applicable,ML81563149,1071 Fife Avenue,2999000,6,3,3,2,1,1741,7501.03,Palo Alto,62
Active,Not Applicable,ML81550973,1528 Padres Drive,2998000,21,3,5,3,0,4459,12401.53,San Jose,27
Active,Not Applicable,ML81549724,620 Magdalena Avenue,2998000,8,4,4,3,1,2953,27993,Los Altos,64
Active,New Subdivision,ML81548657,2088 Channing Avenue,2995000,40,4,4,3,1,3308,3383,Palo Alto,1
Active,Not Applicable,ML81548824,2254 Williams Street,2995000,26,4,2,3,1,2591,6250.86,Palo Alto,15
Pending,Not Applicable,ML81550105,936 Colonial Lane,2995000,15,3,4,3,0,2717,6733,Palo Alto,7
Active,Not Applicable,ML81562915,20297 Ljepava Drive,2995000,8,3,4,2,1,2581,15398.46,Saratoga,52
Active,Not Applicable,ML81563145,22338 Regnart Road,2995000,6,3,4,3,0,4436,116740.8,Cupertino,30
Active,Not Applicable,ML81561885,16 Pennsylvania Avenue,2989000,14,3,3,2,1,2928,14256,Los Gatos,110
Active,Not Applicable,ML81561213,5662 Country Club Parkway,2988888,19,5,4,4,1,5000,15002.06,San Jose,20
Active,Not Applicable,ML81550979,22149 Rae Lane,2988000,21,4,5,3,1,4026,10388,Cupertino,31
