Decima M. Allen Elementary ,6," 875 West Angus Ave. San Bruno, CA 94066 ",823, Elementary School
George Hall Elementary ,6," 130 San Miguel Way San Mateo, CA 94403 ",823, Elementary School
Laurel Elementary ,6," 316 36th Ave. San Mateo, CA 94403 ",825, Elementary School
Daniel Webster Elementary ,6," 425 El Dorado Dr. Daly City, CA 94015 ",827, Elementary School
Beresford Elementary ,6," 300 28th Ave. San Mateo, CA 94403 ",831, Elementary School
El Camino High ,7," 1320 Mission Rd. South San Francisco, CA 94080 ",782, High School
Westmoor High ,7," 131 Westmoor Ave. Daly City, CA 94015 ",783, High School
Capuchino High ,7," 1501 Magnolia Dr. San Bruno, CA 94066 ",791, High School
Terra Nova High ,7," 1450 Terra Nova Blvd. Pacifica, CA 94044 ",792, High School
Half Moon Bay High ,7," Lewis Foster Dr. Half Moon Bay, CA 94019 ",794, High School
San Mateo High ,7," 506 North Delaware St. San Mateo, CA 94401 ",800, High School
Borel Middle ,7," 425 Barneson Ave. San Mateo, CA 94402 ",828, Middle School
Margaret Pauline Brown Elementary ,7," 305 Eastmoor Ave. Daly City, CA 94015 ",834, Elementary School
Sunset Ridge Elementary ,7," 340 Inverness Dr. Pacifica, CA 94044 ",835, Elementary School
Henry Ford Elementary ,7," 2498 Massachusetts Ave. Redwood City, CA 94061 ",836, Elementary School
Brisbane Elementary ,7," 500 San Bruno Ave. Brisbane, CA 94005 ",837, Elementary School
El Crystal Elementary ,7," 201 North Balboa Way San Bruno, CA 94066 ",838, Elementary School
Adelante Spanish Immersion ,7," 3150 Granger Way Redwood City, CA 94061 ",839, Elementary School
Lipman Middle ,7," 1 Solano St. Brisbane, CA 94005 ",841, Middle School
John F. Kennedy Elementary ,7," 785 Price St. Daly City, CA 94014 ",843, Elementary School
Westlake Elementary ,7," 80 Fieldcrest Dr. Daly City, CA 94015 ",843, Elementary School
Lomita Park Elementary ,7," 200 Santa Helena Ave. San Bruno, CA 94066 ",852, Elementary School
Thomas Edison Elementary ,7," 1267 Southgate Ave. Daly City, CA 94015 ",854, Elementary School
Orion Alternative ,7," 815 Allerton St. Redwood City, CA 94063 ",854, Elementary School
Highlands Elementary ,7," 2320 Newport St. San Mateo, CA 94402 ",856, Elementary School
Meadow Heights Elementary ,7," 2619 Dolores St. San Mateo, CA 94403 ",856, Elementary School
Sequoia High ,8," 1201 Brewster Ave. Redwood City, CA 94062 ",802, High School
Oceana High ,8," 401 Paloma Ave. Pacifica, CA 94044 ",817, High School
Hillsdale High ,8," 3115 Del Monte St. San Mateo, CA 94403 ",818, High School
Menlo-Atherton High ,8," 555 Middlefield Rd. Atherton, CA 94025 ",819, High School
Aspire East Palo Alto Phoenix Academy ,8," 1039 Garden St. East Palo Alto, CA 94303 ",819, High Schoolÿ
Everest Public High ,8," 455 Fifth Ave. Redwood City, CA 94063 ",822, High Schoolÿ
Alta Loma Middle ,8," 116 Romney Ave. South San Francisco, CA 94080 ",845, Middle School
Fernando Rivera Intermediate ,8," 1255 Southgate Ave. Daly City, CA 94015 ",849, Middle School
Westborough Middle ,8," 2570 Westborough Blvd. South San Francisco, CA 94080 ",852, Middle School
Ocean Shore Elementary ,8," 411 Oceana Blvd. Pacifica, CA 94044 ",859, Elementary School
La Honda Elementary ,8," 450 Sears Ranch Rd. La Honda, CA 94020 ",860, Elementary School
Roy Cloud Elementary ,8," 3790 Red Oak Way Redwood City, CA 94061 ",862, Elementary School
Ortega Elementary ,8," 1283 Terra Nova Blvd. Pacifica, CA 94044 ",864, Elementary School
Nesbit Elementary ,8," 500 Biddulph Way Belmont, CA 94002 ",865, Elementary School
Skyline Elementary ,8," 55 Christen Ave. Daly City, CA 94015 ",866, Elementary School
Ponderosa Elementary ,8," 295 Ponderosa Rd. South San Francisco, CA 94080 ",871, Elementary School
Buri Buri Elementary ,8," 120 El Campo Dr. South San Francisco, CA 94080 ",873, Elementary School
Vallemar Elementary ,8," 377 Reina del Mar Ave. Pacifica, CA 94044 ",876, Elementary School
