Academy of Arts and Sciences: Los Angeles (K-8),17500 Burbank Blvd,Encino,CA,91361,Los Angeles,-118.51472,34.172041
Academy of Arts and Sciences: Oxnard & Ventura,850 Hampshire Rd. Ste.C,Westlake Village,CA,91361,Ventura,-118.83089,34.155695
Academy of Arts and Sciences: Sonoma,"850 Hampshire Rd., Ste. C",Thousand Oaks,CA,91361,Sonoma,-118.83089,34.155695
Academy of Arts and Sciences: Thousand Oaks & Simi Valley,850 Hampshire Rd. Ste. C,Westlake Village,CA,91361,Ventura,-118.83089,34.155695
Academy of Careers and Exploration,13943 Rivers Edge Rd.,Helendale,CA,92342,San Bernardino,-117.36048,34.734648
Academy of Medical Arts at Carson High,22328 South Main St.,Carson,CA,90745,Los Angeles,-118.27585,33.823923
Academy of Personalized Learning,2195 Larkspur Ln. Ste. 100,Redding,CA,96002,Shasta,-122.35497,40.575738
Academy of Science and Engineering,5753 Rodeo Rd.,Los Angeles,CA,90016,Los Angeles,-118.37128,34.02233
Academy of Technology & Leadership at Saticoy,760 Jazmin Ave.,Ventura,CA,93004,Ventura,-119.1602,34.284675
Academy of the Canyons,26455 Rockwell Canyon Rd.,Santa Clarita,CA,91355,Los Angeles,-118.56758,34.407188
Academy of the Redwoods,7351 Tompkins Hill Rd.,Eureka,CA,95501,Humboldt,-124.19641,40.698219
Academy Performing Preschool,12219 Second Ave.,Victorville,CA,92395,San Bernardino,-117.29844,34.47344
Acalanes Adult Education Center,1963 Tice Valley Blvd.,Walnut Creek,CA,94595,Contra Costa,-122.07251,37.876678
Acalanes Center for Independent Study,1963 Tice Valley Blvd.,Walnut Creek,CA,94595,Contra Costa,-122.07422,37.877664
Acalanes High,1200 Pleasant Hill Rd.,Lafayette,CA,94549,Contra Costa,-122.09906,37.904313
Accelerated Achievement Academy,1031 North State St.,Ukiah,CA,95482,Mendocino,-123.20958,39.162023
Accelerated Achievement Academy,1151 Buena Vista Rd.,Hollister,CA,95023,San Benito,-121.41773,36.857246
Accelerated Charter Elementary,119 East 37th St.,Los Angeles,CA,90011,Los Angeles,-118.27335,34.014903
Access County Community,200 Kalmus Dr.,Costa Mesa,CA,92628,Orange,-117.8806,33.672234
Access Juvenile Hall,"1715 East Wilshire Ave., Ste. 702",Santa Ana,CA,92705,Orange,-117.84364,33.732427
ACE Alum Rock,1990 Kammerer Ave,San Jose,CA,95116,Santa Clara,-121.84581,37.34901
ACE Charter High,1776 Educational Park Dr.,San Jose,CA,95133,Santa Clara,-121.85791,37.366747
ACE Empower Academy,625 South Sunset Ave.,San Jose,CA,95116,Santa Clara,-121.8446,37.348601
ACE Franklin McKinley,1665 Santee Dr.,San Jose,CA,95112,Santa Clara,-121.84531,37.328016
ACE Inspire Academy,110 East Hedding St.,San Jose,CA,95112,Santa Clara,-121.90113,37.354436
Achieve Academy,1700 28th Ave.,Oakland,CA,94601,Alameda,-122.22696,37.782892
Achieve Charter School of Paradise Inc.,771 Elliott Rd.,Paradise,CA,95969,Butte,-121.62125,39.759496
ACORN Woodland Elementary,1025 81st Ave.,Oakland,CA,94621,Alameda,-122.18605,37.752862
Ada Clegg Elementary,6311 Larchwood Dr.,Huntington Beach,CA,92647,Orange,-118.01978,33.746947
Ada Givens Elementary,2900 Green St.,Merced,CA,95340,Merced,-120.45375,37.305052
Ada S. Nelson Elementary,8140 South Vicki Dr.,Whittier,CA,90606,Los Angeles,-118.07567,33.970702
Ada W. Harris Elementary,1508 Windsor Rd.,Cardiff-by-the-Sea,CA,92007,San Diego,-117.27349,33.03128
Adaline E. Kent Middle,800 College Ave.,Kentfield,CA,94904,Marin,-122.54926,37.952639
Adam (William Laird) Elementary,500 West Windsor,Santa Maria,CA,93458,Santa Barbara,-120.4426,34.9356
Adams (J. Douglas) Middle,401 American Ave.,Brentwood,CA,94513,Contra Costa,-121.75556,37.918977
Adams Elementary,2850 Club House Rd.,Costa Mesa,CA,92626,Orange,-117.93196,33.674343
Adams Elementary,2130 South Raitt St.,Santa Ana,CA,92704,Orange,-117.89608,33.717824
Adams Elementary,8362 Colorado Ave.,Riverside,CA,92504,Riverside,-117.43552,33.944767
Adams Elementary,4672 35th St.,San Diego,CA,92116,San Diego,-117.11786,32.76156
Adams Elementary,6402 Inglewood Ave.,Stockton,CA,95207,San Joaquin,-121.31598,38.00908
Adams Elementary,2701 Las Positas Rd.,Santa Barbara,CA,93105,Santa Barbara,-119.73364,34.432627
Adams Middle,2600 Ripley Ave.,Redondo Beach,CA,90278,Los Angeles,-118.36332,33.867094
Addams Elementary,2117 West McKinley Ave.,Fresno,CA,93728,Fresno,-119.83641,36.764685
Addams Elementary,5320 Pine Ave.,Long Beach,CA,90805,Los Angeles,-118.19166,33.852775
Addison Elementary,650 Addison Ave.,Palo Alto,CA,94301,Santa Clara,-122.15111,37.446187
Adelante Charter,1102 East Yanonali St.,Santa Barbara,CA,93103,Santa Barbara,-119.67914,34.425634
Adelante Dual Language Academy,2999 Ridgemont Dr.,San Jose,CA,95127,Santa Clara,-121.81271,37.344569
Adelante High,701 General Petroleum St.,Kettleman City,CA,93239,Kings,-119.96231,36.00824
Adelante High,6801 Seventh St.,Riverbank,CA,95367,Stanislaus,-120.92894,37.737004
Adelante High (Continuation),350 Atlantic St.,Roseville,CA,95678,Placer,-121.28002,38.752954
Adelante Spanish Immersion,3150 Granger Way,Redwood City,CA,94061,San Mateo,-122.24341,37.45421
Adelanto Elementary,17931 Jonathan St.,Adelanto,CA,92301,San Bernardino,-117.40944,34.576166
Adelanto High,15620 Joshua St.,Adelanto,CA,92392,San Bernardino,-117.4413,34.531124
Adele Harrison Middle,1150 Broadway,Sonoma,CA,95476,Sonoma,-122.45867,38.28001
Adobe Bluffs Elementary,8707 Adobe Bluffs Dr.,San Diego,CA,92129,San Diego,-117.14039,32.974268
Adolfo Camarillo High,4660 Mission Oaks Blvd.,Camarillo,CA,93012,Ventura,-119.00781,34.219435
Adrian Wilcox High,3250 Monroe St.,Santa Clara,CA,95051,Santa Clara,-121.98578,37.366875
Adult Alternative Education,4041 Pacific Ave.,Jurupa Valley,CA,92509,Riverside,-117.4221,34.000975
Adult and Career Education,1515 West Mission Blvd.,Pomona,CA,91766,Los Angeles,-117.77258,34.054828
Adult and Community Education,591 West Fremont Ave.,Sunnyvale,CA,94087,Santa Clara,-122.0377,37.353875
Adult Division Center,9401 South Painter Ave.,Whittier,CA,90605,Los Angeles,-118.04392,33.952348
Adult Education,11262 Garden Grove Blvd.,Garden Grove,CA,92843,Orange,-117.93564,33.774162
Adult Education,25598 Peter A. Hartman Way,Mission Viejo,CA,92691,Orange,-117.68383,33.620697
Adult Education,1558 West Ninth St.,Upland,CA,91786,San Bernardino,-117.67998,34.094974
Adult Education,333 Moffett Blvd.,Mountain View,CA,94043,Santa Clara,-122.07506,37.398546
Adult Education,100-A McClellan St.,Vacaville,CA,95688,Solano,-121.98361,38.358513
Adult Education,2491 Lawrence St.,Ceres,CA,95307,Stanislaus,-120.94979,37.590194
Adult Education,1050 Kimball Rd.,Red Bluff,CA,96080,Tehama,-122.24203,40.158305
Adult Education,1025 Old Farm Rd.,Thousand Oaks,CA,91360,Ventura,-118.86036,34.205057
Adult Education,919 Westacre Rd.,West Sacramento,CA,95691,Yolo,-121.52947,38.577919
Adult Education Division,"699 Serramonte Blvd., Ste. 111",Daly City,CA,94015,San Mateo,-122.47754,37.66842
Adult Education Eastside Union,625 Education Park Dr.,San Jose,CA,95133,Santa Clara,-121.85906,37.36564
Adult Education Program,625 Educational Park Dr.,San Jose,CA,95133,Santa Clara,-121.85906,37.36564
Adult Transition Program,800 West Covina Blvd.,San Dimas,CA,91773,Los Angeles,-117.82516,34.097867
Advanced Learning Academy,335 East Walnut Ave.,Santa Ana,CA,92701,Orange,-117.8506,33.795111
Aeolian Elementary,11600 Aeolian St.,Whittier,CA,90606,Los Angeles,-118.06787,33.966235
Afflerbaugh-Paige Camp,6621 North Stephens Ranch Rd.,La Verne,CA,91750,Los Angeles,-117.74243,34.152077
Aggeler Community Day,21050 Plummer St.,Chatsworth,CA,91311,Los Angeles,-118.5927,34.242728
Agnes J. Johnson  Elementary,73 School Rd.,Weott,CA,95571,Humboldt,-123.92392,40.320433
Agnes L. Smith Elementary,770 17th St.,Huntington Beach,CA,92648,Orange,-118.00692,33.67017
Agnes M. Baptist Elementary,1825 Cheyenne Way,Modesto,CA,95356,Stanislaus,-121.02505,37.692475
Agnes Ware Stanley Elementary,12201 Elmwood Ave.,Garden Grove,CA,92840,Orange,-117.9378,33.785371
Agoura High,28545 West Driver Ave.,Agoura,CA,91301,Los Angeles,-118.74948,34.15104
Agua Caliente Elementary,30-800 San Luis Rey Plaza,Cathedral City,CA,92234,Riverside,-116.48834,33.822882
Ahwahnee High,50407 Hangtree Ln.,Oakhurst,CA,93644,Madera,-119.628,37.32528
Ahwahnee Middle,1127 East Escalon Ave.,Fresno,CA,93710,Fresno,-119.76952,36.826591
Aileen Colburn Elementary,2201 Heller St.,Atwater,CA,95301,Merced,-120.61857,37.352836
Akers Elementary,Constellation Ave.,N.A.S. Lemoore,CA,93245,Kings,-119.87505,36.26376
Akira Yokomi Elementary,2323 East McKenzie,Fresno,CA,93701,Fresno,-119.7835,36.746902
Alain Leroy Locke College Preparatory Academy,325 East 111th St.,Los Angeles,CA,90061,Los Angeles,-118.26893,33.934867
Alameda Adult,1300 Third St.,Alameda,CA,94501,Alameda,-122.2885,37.770867
Alameda Community Learning Center,1900 Third St.,Alameda,CA,94501,Alameda,-122.28703,37.779051
Alameda County Community,313 West Winton Ave.,Hayward,CA,94544,Alameda,-122.09713,37.658212
Alameda County Juvenile Hall/Court,2500 Fairmont Ave.,San Leandro,CA,94578,Alameda,-122.11173,37.712878
Alameda County Special Education,313 West Winton Ave.,Hayward,CA,94544,Alameda,-122.09713,37.658212
Alameda Elementary,8613 East Alameda St.,Downey,CA,90242,Los Angeles,-118.1362,33.92534
Alameda High,2201 Encinal Ave.,Alameda,CA,94501,Alameda,-122.24807,37.764294
Alameda Science and Technology Institute,555 Atlantic Ave.,Alameda,CA,94501,Alameda,-122.28052,37.779884
Alamitos Intermediate,12381 Dale St.,Garden Grove,CA,92841,Orange,-117.98409,33.783024
Alamo Elementary,100 Wilson Rd.,Alamo,CA,94507,Contra Costa,-122.03093,37.867494
Alamo Elementary,250 23rd Ave.,San Francisco,CA,94121,San Francisco,-122.4828,37.782958
Alamo Elementary,500 South Orchard Ave.,Vacaville,CA,95688,Solano,-122.00171,38.352909
Alamos Elementary,38200 Pacific Park Dr.,Murrieta,CA,92563,Riverside,-117.11065,33.56346
Alamosa Park Elementary,5130 Alamosa Park Dr.,Oceanside,CA,92057,San Diego,-117.28112,33.239596
ALBA,4041 Oregon St,San Diego,CA,92104,San Diego,-117.13509,32.751186
Albany Adult,603 Key Route Blvd.,Albany,CA,94706,Alameda,-122.29209,37.896209
Albany High,603 Key Route Blvd.,Albany,CA,94706,Alameda,-122.29257,37.896661
Albany Middle,1259 Brighton Ave.,Albany,CA,94706,Alameda,-122.2953,37.897851
Albany Park Elementary,235 West 20th Ave.,Delano,CA,93215,Kern,-119.26167,35.783111
Albert A. Michelson Elementary,196 Pennsylvania Gulch Rd.,Murphys,CA,95247,Calaveras,-120.45466,38.133908
Albert Baxter Elementary,14929 Cerritos Ave.,Bellflower,CA,90706,Los Angeles,-118.13992,33.898008
Albert Einstein Academy Charter Middle,458 26th St.,San Diego,CA,92102,San Diego,-117.13816,32.709719
"Albert Einstein Academy for Letters, Arts & Sciences - Aqua Dulce Partnership Academy",11311 Frascati St.,Agua Dulce,CA,91390,Los Angeles,-118.33414,34.48736
"Albert Einstein Academy for Letters, Arts & Sciences - Odyssey",8844 Burton Way,Beverly Hills,CA,90211,Los Angeles,-118.38524,34.071847
"Albert Einstein Academy for Letters, Arts and Sciences",28141 Kelly Johnson Pkwy.,Santa Clarita,CA,91355,Los Angeles,-118.57677,34.444904
"Albert Einstein Academy for Letters, Arts and Sciences-STEAM",25443 Orchard Village Rd.,Valencia,CA,91355,Los Angeles,-118.5491,34.390494
Albert Einstein Continuation,15938 Tupper St.,North Hills,CA,91343,Los Angeles,-118.47934,34.239189
Albert Einstein Middle,9325 Mirandy Dr.,Sacramento,CA,95826,Sacramento,-121.35252,38.548256
Albert F. Biella Elementary,2140 Jennings Ave.,Santa Rosa,CA,95401,Sonoma,-122.75462,38.450057
Albert Powell Continuation,1875 Clark Ave.,Yuba City,CA,95991,Sutter,-121.62679,39.161746
Albert Schweitzer Elementary,4350 Glenridge Dr.,Carmichael,CA,95608,Sacramento,-121.30054,38.643591
Alberta Martone Elementary,1413 Poust Rd.,Modesto,CA,95358,Stanislaus,-121.0448,37.655542
Albion Elementary,30400 Albion Ridge Rd.,Albion,CA,95410,Mendocino,-123.71674,39.219552
Albion Street Elementary,322 South Avenue 18,Los Angeles,CA,90031,Los Angeles,-118.22091,34.069357
Alcott Elementary,1600 South Towne Ave.,Pomona,CA,91766,Los Angeles,-117.74078,34.042964
Alcott Elementary,2433 Central Ave.,Riverside,CA,92506,Riverside,-117.36463,33.95386
Alcott Elementary,4680 Hidalgo Ave.,San Diego,CA,92117,San Diego,-117.22046,32.832311
Aldama Elementary,632 North Avenue 50,Los Angeles,CA,90042,Los Angeles,-118.206,34.110127
Alder Creek Middle,10931 Alder Dr.,Truckee,CA,96161,Placer,-120.17329,39.345384
Alder Grove Charter,714 F St.,Eureka,CA,95501,Humboldt,-124.16562,40.799819
Alder Middle,7555 Alder Ave.,Fontana,CA,92336,San Bernardino,-117.41834,34.116403
Alderwood Elementary,2005 Knollcrest,Irvine,CA,92603,Orange,-117.77548,33.651811
Alessandro,23311 Dracaea Ave.,Moreno Valley,CA,92553,Riverside,-117.25568,33.928092
Alessandro High,831 East Devonshire Ave.,Hemet,CA,92543,Riverside,-116.96393,33.750878
Alexander Fleming Middle,25425 Walnut St.,Lomita,CA,90717,Los Angeles,-118.31209,33.79321
Alexander Hamilton Elementary,2245 East 11th St.,Stockton,CA,95206,San Joaquin,-121.24932,37.931393
Alexander Hamilton Senior High,2955 Robertson Blvd.,Los Angeles,CA,90034,Los Angeles,-118.38969,34.033458
Alexander Rose Elementary,250 Roswell Dr.,Milpitas,CA,95035,Santa Clara,-121.87707,37.432219
Alexander Valley Elementary,8511 Highway 128,Healdsburg,CA,95448,Sonoma,-122.79218,38.655489
Alexandria Avenue Elementary,4211 Oakwood Ave.,Los Angeles,CA,90004,Los Angeles,-118.29973,34.077638
Alfonso B. Perez Special Education Center,4540 Michigan Ave.,Los Angeles,CA,90022,Los Angeles,-118.16827,34.038721
Alfred B. Nobel Charter Middle,9950 Tampa Ave.,Northridge,CA,91324,Los Angeles,-118.5535,34.250954
